"Site","Date","Latitude","Longitude","Rep","Type","DOC","DOCFlag","POC","POCFlag","NO3","NO3Flag","NH3","NH3Flag","TDN","TDNFlag","PON","PONFlag","SRP","SRPFlag","TDP","TDPFlag","PP","PPFlag","TP","TPFlag","SRSi","SiFlag","Chl","ChlFlag","TSS","TSSFlag"
"Amnicon River",2021-06-09,46.6856,-91.8638,1,"Watershed",1280,"none",146,"none",0.87,"none",0.88,"none",40,"none",14.4,"none",0.18,"none",0.54,"none",1.09,"none",1.44,"none",65.8,"none",8.03,"none",14.5,"none"
"Amnicon River",2021-06-09,46.6856,-91.8638,2,"Watershed",1320,"none",134,"none",NA,"none",NA,"none",45,"none",13.6,"none",NA,"none",NA,"none",1.19,"none",NA,"none",NA,"none",7.82,"none",NA,"none"
"Bear Creek",2021-06-09,46.6725,-92.0005,1,"Watershed",2230,"none",220,"none",8.55,"none",20.8,"none",144,"none",16,"none",0.34,"none",1.2,"none",1.98,"none",3.82,"none",93.8,"none",3.61,"none",13,"none"
"Bear Creek",2021-06-09,46.6725,-92.0005,2,"Watershed",2200,"none",195,"none",NA,"none",NA,"none",144,"none",15.1,"none",NA,"none",NA,"none",2.09,"none",NA,"none",NA,"none",2.74,"none",NA,"none"
"Dutchman Creek",2021-06-09,46.6791,-91.9437,1,"Watershed",1130,"none",144,"none",5.71,"none",17.9,"none",93.5,"none",13.8,"none",0.23,"none",0.46,"none",1.49,"none",2.17,"none",83.5,"none",6.62,"none",14.5,"none"
"Dutchman Creek",2021-06-09,46.6791,-91.9437,2,"Watershed",1140,"none",145,"none",NA,"none",NA,"none",92.1,"none",13.9,"none",NA,"none",NA,"none",1.48,"none",NA,"none",NA,"none",5.46,"none",NA,"none"
"Faxon Creek",2021-06-09,46.7169,-92.0738,1,"Watershed",921,"none",180,"none",11.3,"none",21.4,"none",84.2,"none",14.4,"none",0.31,"none",1.69,"none",2.65,"none",4.57,"none",135,"none",2.77,"none",52.8,"none"
"Faxon Creek",2021-06-09,46.7169,-92.0738,2,"Watershed",956,"none",167,"none",NA,"none",NA,"none",83.5,"none",14.1,"none",NA,"none",NA,"none",2.66,"none",NA,"none",NA,"none",3.67,"none",NA,"none"
"Nemadji River",2021-06-09,46.6662,-92.0638,1,"Watershed",987,"none",79.7,"none",1.73,"none",0.23,"none",29.3,"none",6.18,"none",0.16,"none",0.31,"none",0.56,"none",0.94,"none",132,"none",5.12,"none",7.3,"none"
"Nemadji River",2021-06-09,46.6662,-92.0638,2,"Watershed",986,"none",73.7,"none",NA,"none",NA,"none",29.3,"none",6.55,"none",NA,"none",NA,"none",0.56,"none",NA,"none",NA,"none",4.54,"none",NA,"none"
"Newton Creek",2021-06-09,46.7045,-92.0421,1,"Watershed",1050,"none",125,"none",1.9,"none",0.39,"none",36.4,"none",11.7,"none",0.81,"none",1.6,"none",1.67,"none",3.41,"none",87.2,"none",2.76,"none",9.3,"none"
"Newton Creek",2021-06-09,46.7045,-92.0421,2,"Watershed",1040,"none",105,"none",NA,"none",NA,"none",34.3,"none",10.9,"none",NA,"none",NA,"none",1.56,"none",NA,"none",NA,"none",2.51,"none",NA,"none"
"Poplar Creek",2021-06-09,46.6872,-91.7928,1,"Watershed",1350,"none",260,"none",0.11,"none",0.38,"none",41.4,"none",29.5,"none",0.15,"none",0.49,"none",1.08,"none",2.41,"none",61.1,"none",10.1,"none",7.5,"none"
"Poplar Creek",2021-06-09,46.6872,-91.7928,2,"Watershed",1380,"none",260,"none",NA,"none",NA,"none",42.8,"none",28.6,"none",NA,"none",NA,"none",2.18,"none",NA,"none",NA,"none",7.1,"none",NA,"none"
"Amnicon River",2021-06-30,46.6856,-91.8638,1,"Watershed",942,"none",123,"none",0.31,"none",0.3,"none",30.7,"none",9.72,"none",0.1,"none",0.37,"none",0.88,"none",1.65,"none",60.4,"none",5.21,"none",12.7,"none"
"Amnicon River",2021-06-30,46.6856,-91.8638,2,"Watershed",947,"none",124,"none",NA,"none",NA,"none",30.7,"none",9.97,"none",NA,"none",NA,"none",1.05,"none",NA,"none",NA,"none",6.29,"none",NA,"none"
"Bear Creek",2021-06-30,46.6725,-92.0005,1,"Watershed",1640,"none",235,"none",8.54,"none",1.94,"none",65,"none",11.3,"none",0.33,"none",0.77,"none",1.67,"none",3.01,"none",108,"none",8.66,"none",22.5,"none"
"Bear Creek",2021-06-30,46.6725,-92.0005,2,"Watershed",1730,"none",212,"none",NA,"none",NA,"none",67.1,"none",11.9,"none",NA,"none",NA,"none",2.14,"none",NA,"none",NA,"none",9.03,"none",NA,"none"
"Dutchman Creek",2021-06-30,46.6791,-91.9437,1,"Watershed",821,"none",147,"none",7.25,"none",0.34,"none",33.6,"none",11.6,"none",0.08,"none",0.25,"none",1.26,"none",1.55,"none",67.9,"none",5.89,"none",23,"none"
"Dutchman Creek",2021-06-30,46.6791,-91.9437,2,"Watershed",843,"none",129,"none",NA,"none",NA,"none",33.6,"none",11.4,"none",NA,"none",NA,"none",0.76,"none",NA,"none",NA,"none",6.52,"none",NA,"none"
"Faxon Creek",2021-06-30,46.7169,-92.0738,1,"Watershed",1450,"none",133,"none",28.9,"none",3.47,"none",80.7,"none",4.38,"none",0.87,"none",1.95,"none",1.08,"none",2.74,"none",211,"none",1.32,"none",19.5,"none"
"Faxon Creek",2021-06-30,46.7169,-92.0738,2,"Watershed",1460,"none",126,"none",NA,"none",NA,"none",80,"none",4.6,"none",NA,"none",NA,"none",0.8,"none",NA,"none",NA,"none",1.41,"none",NA,"none"
"Nemadji River",2021-06-30,46.6662,-92.0638,1,"Watershed",556,"none",77.9,"none",1.96,"none",0.16,"none",19.3,"none",5.34,"none",0.16,"none",0.21,"none",0.57,"none",0.65,"none",165,"none",4.92,"none",11.3,"none"
"Nemadji River",2021-06-30,46.6662,-92.0638,2,"Watershed",511,"none",76.7,"none",NA,"none",NA,"none",17.8,"none",5.22,"none",NA,"none",NA,"none",0.86,"none",NA,"none",NA,"none",4.56,"none",NA,"none"
"Newton Creek",2021-06-30,46.7045,-92.0421,1,"Watershed",655,"none",128,"none",10.3,"none",0.57,"none",31.4,"none",8.95,"none",0.09,"none",0.29,"none",0.7,"none",1.63,"none",37.6,"none",4.98,"none",10,"none"
"Newton Creek",2021-06-30,46.7045,-92.0421,2,"Watershed",650,"none",145,"none",NA,"none",NA,"none",34.3,"none",10.5,"none",NA,"none",NA,"none",0.76,"none",NA,"none",NA,"none",4.94,"none",NA,"none"
"Poplar Creek",2021-06-30,46.6872,-91.7928,1,"Watershed",1120,"none",101,"none",0.15,"none",0.23,"none",34.3,"none",8.78,"none",0.1,"none",0.36,"none",0.79,"none",1.35,"none",45.8,"none",5.75,"none",8.7,"none"
"Poplar Creek",2021-06-30,46.6872,-91.7928,2,"Watershed",1120,"none",106,"none",NA,"none",NA,"none",33.6,"none",8.82,"none",NA,"none",NA,"none",0.79,"none",NA,"none",NA,"none",6,"none",NA,"none"
"Nemadji River ISCO",2021-07-06,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.22,"none",NA,"none",0.58,"none",179,"none",NA,"none",6.7,"none"
"Nemadji River ISCO",2021-07-06,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.22,"none",NA,"none",0.84,"none",182,"none",NA,"none",10,"none"
"Nemadji River ISCO",2021-07-06,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.14,"none",0.19,"none",NA,"none",0.73,"none",176,"none",NA,"none",12.3,"none"
"Nemadji River ISCO",2021-07-06,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.19,"none",NA,"none",0.68,"none",174,"none",NA,"none",13.3,"none"
"Nemadji River ISCO",2021-07-06,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.2,"none",NA,"none",0.61,"none",175,"none",NA,"none",7.3,"none"
"Nemadji River ISCO",2021-07-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.14,"none",0.18,"none",NA,"none",0.62,"none",180,"none",NA,"none",9,"none"
"Nemadji River ISCO",2021-07-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.15,"none",0.22,"none",NA,"none",0.64,"none",185,"none",NA,"none",9.3,"none"
"Nemadji River ISCO",2021-07-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.15,"none",0.25,"none",NA,"none",0.6,"none",181,"none",NA,"none",6.3,"none"
"Nemadji River ISCO",2021-07-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.16,"none",0.28,"none",NA,"none",0.62,"none",181,"none",NA,"none",9.3,"none"
"Nemadji River ISCO",2021-07-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.16,"none",0.21,"none",NA,"none",0.67,"none",183,"none",NA,"none",9.3,"none"
"Nemadji River ISCO",2021-07-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.15,"none",0.24,"none",NA,"none",0.7,"none",174,"none",NA,"none",10.3,"none"
"Nemadji River ISCO",2021-07-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.15,"none",0.2,"none",NA,"none",0.88,"none",173,"none",NA,"none",11,"none"
"Amnicon River",2021-07-20,46.6856,-91.8638,1,"Watershed",835,"none",91,"none",0.17,"none",0.36,"none",27.1,"none",7.76,"none",0.17,"none",0.4,"none",0.74,"none",1.32,"none",85.1,"none",0.01,"none",5,"none"
"Amnicon River",2021-07-20,46.6856,-91.8638,2,"Watershed",884,"none",79.8,"none",NA,"none",NA,"none",27.8,"none",7.38,"none",NA,"none",NA,"none",0.9,"none",NA,"none",NA,"none",0.01,"none",NA,"none"
"Bear Creek",2021-07-20,46.6725,-92.0005,1,"Watershed",1350,"none",186,"none",0.31,"none",0.21,"none",45,"none",22.5,"none",0.12,"none",0.56,"none",1.79,"none",2.28,"none",80.9,"none",0.07,"none",16.5,"none"
"Bear Creek",2021-07-20,46.6725,-92.0005,2,"Watershed",1350,"none",180,"none",NA,"none",NA,"none",46.4,"none",21.8,"none",NA,"none",NA,"none",1.95,"none",NA,"none",NA,"none",0.08,"none",NA,"none"
"Dutchman Creek",2021-07-20,46.6791,-91.9437,1,"Watershed",1180,"none",135,"none",0.23,"none",0.23,"none",46.4,"none",12.6,"none",0.17,"none",0.52,"none",1.44,"none",1.64,"none",107,"none",0.04,"none",25,"none"
"Dutchman Creek",2021-07-20,46.6791,-91.9437,2,"Watershed",1140,"none",133,"none",NA,"none",NA,"none",45.7,"none",12.2,"none",NA,"none",NA,"none",1.38,"none",NA,"none",NA,"none",0.03,"none",NA,"none"
"Faxon Creek",2021-07-20,46.7169,-92.0738,1,"Watershed",770,"none",222,"none",3.51,"none",3.57,"none",35,"none",22.6,"none",0.45,"none",1.4,"none",3.23,"none",4.24,"none",140,"none",0.15,"none",31.5,"none"
"Faxon Creek",2021-07-20,46.7169,-92.0738,2,"Watershed",783,"none",224,"none",NA,"none",NA,"none",35,"none",22,"none",NA,"none",NA,"none",3.11,"none",NA,"none",NA,"none",0.21,"none",NA,"none"
"Nemadji River",2021-07-20,46.6662,-92.0638,1,"Watershed",455,"none",54.9,"none",0.79,"none",0.22,"none",15.7,"none",3.79,"none",0.18,"none",0.11,"none",0.44,"none",0.55,"none",201,"none",0.01,"none",7,"none"
"Nemadji River",2021-07-20,46.6662,-92.0638,2,"Watershed",466,"none",54.2,"none",NA,"none",NA,"none",15.7,"none",3.43,"none",NA,"none",NA,"none",0.46,"none",NA,"none",NA,"none",0.03,"none",NA,"none"
"Newton Creek",2021-07-20,46.7045,-92.0421,1,"Watershed",617,"none",118,"none",1.65,"none",6.3,"none",28.6,"none",10.6,"none",1.51,"none",1.81,"none",1.64,"none",3,"none",42.8,"none",0.09,"none",15.5,"none"
"Newton Creek",2021-07-20,46.7045,-92.0421,2,"Watershed",635,"none",128,"none",NA,"none",NA,"none",28.6,"none",12.2,"none",NA,"none",NA,"none",1.65,"none",NA,"none",NA,"none",0.09,"none",NA,"none"
"Poplar Creek",2021-07-20,46.6872,-91.7928,1,"Watershed",1090,"none",74.6,"none",0.29,"none",0.19,"none",35,"none",6.56,"none",0.12,"none",0.36,"none",0.83,"none",1,"none",47,"none",0.04,"none",5.7,"none"
"Poplar Creek",2021-07-20,46.6872,-91.7928,2,"Watershed",1110,"none",81.4,"none",NA,"none",NA,"none",35.7,"none",7.95,"none",NA,"none",NA,"none",0.77,"none",NA,"none",NA,"none",0.04,"none",NA,"none"
"Nemadji River ISCO",2021-07-26,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.2,"none",0.3,"none",NA,"none",0.91,"none",186,"none",NA,"none",13,"none"
"Nemadji River ISCO",2021-07-26,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.15,"none",0.3,"none",NA,"none",0.93,"none",183,"none",NA,"none",11,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.11,"none",0.34,"none",NA,"none",0.79,"none",148,"none",NA,"none",14.2,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.2,"none",NA,"none",0.81,"none",183,"none",NA,"none",15,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.27,"none",NA,"none",0.9,"none",185,"none",NA,"none",13.7,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.12,"none",0.3,"none",NA,"none",0.73,"none",177,"none",NA,"none",9.3,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.14,"none",0.24,"none",NA,"none",0.78,"none",169,"none",NA,"none",12.7,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.12,"none",0.19,"none",NA,"none",0.76,"none",168,"none",NA,"none",11.3,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.12,"none",0.31,"none",NA,"none",0.88,"none",176,"none",NA,"none",11.7,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.23,"none",NA,"none",0.8,"none",176,"none",NA,"none",11,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.22,"none",NA,"none",0.83,"none",163,"none",NA,"none",14,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.12,"none",0.25,"none",NA,"none",0.8,"none",177,"none",NA,"none",14,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.11,"none",0.25,"none",NA,"none",0.88,"none",154,"none",NA,"none",13.3,"none"
"Nemadji River ISCO",2021-07-27,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.2,"none",NA,"none",0.97,"none",159,"none",NA,"none",11.7,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.24,"none",NA,"none",0.89,"none",171,"none",NA,"none",12.3,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.18,"none",0.25,"none",NA,"none",0.9,"none",167,"none",NA,"none",16.7,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.14,"none",0.36,"none",NA,"none",0.94,"none",167,"none",NA,"none",12,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.14,"none",0.22,"none",NA,"none",0.87,"none",171,"none",NA,"none",13.7,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.17,"none",0.21,"none",NA,"none",0.82,"none",178,"none",NA,"none",13.3,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.21,"none",NA,"none",0.77,"none",182,"none",NA,"none",12,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.12,"none",0.23,"none",NA,"none",0.83,"none",165,"none",NA,"none",13.3,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.29,"none",NA,"none",0.84,"none",167,"none",NA,"none",11,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.12,"none",0.21,"none",NA,"none",0.85,"none",171,"none",NA,"none",9.7,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.11,"none",0.32,"none",NA,"none",1.04,"none",187,"none",NA,"none",11.5,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.12,"none",0.22,"none",NA,"none",0.99,"none",159,"none",NA,"none",10.7,"none"
"Nemadji River ISCO",2021-07-28,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.23,"none",NA,"none",0.94,"none",171,"none",NA,"none",9.3,"none"
"Nemadji River ISCO",2021-07-29,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.1,"none",0.36,"none",NA,"none",0.87,"none",176,"none",NA,"none",12.7,"none"
"Nemadji River ISCO",2021-07-29,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.1,"none",0.43,"none",NA,"none",1.11,"none",179,"none",NA,"none",14,"none"
"Nemadji River ISCO",2021-07-29,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.11,"none",0.4,"none",NA,"none",0.99,"none",184,"none",NA,"none",11,"none"
"Nemadji River ISCO",2021-07-29,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.12,"none",0.4,"none",NA,"none",1.11,"none",190,"none",NA,"none",12,"none"
"Nemadji River ISCO",2021-07-29,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.13,"none",0.3,"none",NA,"none",1,"none",157,"none",NA,"none",12.7,"none"
"Nemadji River ISCO",2021-07-29,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.1,"none",0.41,"none",NA,"none",1,"none",186,"none",NA,"none",9.3,"none"
"Nemadji River ISCO",2021-07-29,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.1,"none",0.41,"none",NA,"none",0.95,"none",188,"none",NA,"none",9.2,"none"
"Nemadji River ISCO",2021-08-06,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.17,"none",0.11,"none",NA,"none",0.44,"none",199,"none",NA,"none",7.3,"none"
"Nemadji River ISCO",2021-08-06,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.17,"none",0.18,"none",NA,"none",0.46,"none",199,"none",NA,"none",4.3,"none"
"Nemadji River ISCO",2021-08-06,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.17,"none",0.13,"none",NA,"none",0.48,"none",199,"none",NA,"none",5,"none"
"Nemadji River ISCO",2021-08-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.17,"none",0.21,"none",NA,"none",0.53,"none",196,"none",NA,"none",7,"none"
"Nemadji River ISCO",2021-08-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.18,"none",0.26,"none",NA,"none",0.6,"none",202,"none",NA,"none",10,"none"
"Nemadji River ISCO",2021-08-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.17,"none",0.13,"none",NA,"none",0.4,"none",195,"none",NA,"none",5,"none"
"Nemadji River ISCO",2021-08-07,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.2,"none",0.16,"none",NA,"none",0.62,"none",199,"none",NA,"none",4.7,"none"
"Nemadji River ISCO",2021-08-08,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.18,"none",0.26,"none",NA,"none",0.65,"none",204,"none",NA,"none",8.7,"none"
"Nemadji River ISCO",2021-08-08,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.18,"none",0.28,"none",NA,"none",0.74,"none",208,"none",NA,"none",14,"none"
"Nemadji River ISCO",2021-08-08,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.17,"none",0.28,"none",NA,"none",0.96,"none",201,"none",NA,"none",16,"none"
"Nemadji River ISCO",2021-08-08,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.18,"none",0.31,"none",NA,"none",1.04,"none",204,"none",NA,"none",15.7,"none"
"Nemadji River ISCO",2021-08-09,46.7217,-92.0635,1,"Watershed",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",NA,"none",0.2,"none",0.31,"none",NA,"none",1.2,"none",206,"none",NA,"none",17.7,"none"
"Amnicon River",2021-08-12,46.6856,-91.8638,1,"Watershed",707,"none",59,"none",NA,"bdl",0.2,"none",25.7,"none",4.95,"none",0.13,"none",0.28,"none",0.53,"none",0.78,"none",99.1,"none",4.45,"none",4,"none"
"Amnicon River",2021-08-12,46.6856,-91.8638,2,"Watershed",732,"none",57.9,"none",NA,"none",NA,"none",25,"none",4.72,"none",NA,"none",NA,"none",0.52,"none",NA,"none",NA,"none",4.36,"none",NA,"none"
"Bear Creek",2021-08-12,46.6725,-92.0005,1,"Watershed",1220,"none",152,"none",0.07,"none",0.17,"none",41.4,"none",16.7,"none",0.15,"none",0.52,"none",1.5,"none",2.16,"none",122,"none",18.5,"none",7.3,"none"
"Bear Creek",2021-08-12,46.6725,-92.0005,2,"Watershed",1210,"none",144,"none",NA,"none",NA,"none",42.1,"none",15.2,"none",NA,"none",NA,"none",1.57,"none",NA,"none",NA,"none",18.6,"none",NA,"none"
"Dutchman Creek",2021-08-12,46.6791,-91.9437,1,"Watershed",1180,"none",85.3,"none",0.23,"none",0.18,"none",37.8,"none",7.26,"none",0.14,"none",0.5,"none",0.81,"none",0.94,"none",126,"none",5.65,"none",6,"none"
"Dutchman Creek",2021-08-12,46.6791,-91.9437,2,"Watershed",1170,"none",95.3,"none",NA,"none",NA,"none",38.6,"none",12.6,"none",NA,"none",NA,"none",0.8,"none",NA,"none",NA,"none",5.67,"none",NA,"none"
"Faxon Creek",2021-08-12,46.7169,-92.0738,1,"Watershed",954,"none",129,"none",63.4,"none",4.85,"none",106,"none",10.2,"none",2.31,"none",4.19,"none",1.96,"none",6.73,"none",156,"none",12.3,"none",15.7,"none"
"Faxon Creek",2021-08-12,46.7169,-92.0738,2,"Watershed",998,"none",123,"none",NA,"none",NA,"none",107,"none",9.85,"none",NA,"none",NA,"none",1.92,"none",NA,"none",NA,"none",12.7,"none",NA,"none"
"Nemadji River",2021-08-12,46.6662,-92.0638,1,"Watershed",664,"none",58.9,"none",2.26,"none",0.2,"none",25,"none",3.12,"none",0.2,"none",0.27,"none",0.55,"none",0.71,"none",191,"none",3.19,"none",7.3,"none"
"Nemadji River",2021-08-12,46.6662,-92.0638,2,"Watershed",671,"none",55.8,"none",NA,"none",NA,"none",23.6,"none",3.33,"none",NA,"none",NA,"none",0.54,"none",NA,"none",NA,"none",2.68,"none",NA,"none"
"Newton Creek",2021-08-12,46.7045,-92.0421,1,"Watershed",534,"none",78.6,"none",4.18,"none",4.01,"none",27.8,"none",5.04,"none",0.4,"none",0.7,"none",0.71,"none",1.39,"none",29.8,"none",5.07,"none",4,"none"
"Newton Creek",2021-08-12,46.7045,-92.0421,2,"Watershed",503,"none",63.7,"none",NA,"none",NA,"none",27.1,"none",4.35,"none",NA,"none",NA,"none",0.66,"none",NA,"none",NA,"none",5.35,"none",NA,"none"
"Poplar Creek",2021-08-12,46.6872,-91.7928,1,"Watershed",911,"none",115,"none",0.27,"none",0.23,"none",30.7,"none",11.6,"none",0.12,"none",0.4,"none",1.21,"none",1.73,"none",81.7,"none",11.1,"none",7.7,"none"
"Poplar Creek",2021-08-12,46.6872,-91.7928,2,"Watershed",930,"none",114,"none",NA,"none",NA,"none",30.7,"none",12.2,"none",NA,"none",NA,"none",1.22,"none",NA,"none",NA,"none",11,"none",NA,"none"
"Amnicon River",2021-08-26,46.6856,-91.8638,1,"Watershed",778,"none",84.7,"none",0.53,"none",0.21,"none",30.7,"none",9.25,"none",0.08,"none",0.24,"none",0.77,"none",0.99,"none",59.2,"none",9.08,"none",5.7,"none"
"Amnicon River",2021-08-26,46.6856,-91.8638,2,"Watershed",745,"none",77.7,"none",NA,"none",NA,"none",25,"none",8.52,"none",NA,"none",NA,"none",0.79,"none",NA,"none",NA,"none",8.99,"none",NA,"none"
"Bear Creek",2021-08-26,46.6725,-92.0005,1,"Watershed",1140,"none",204,"none",0.09,"none",0.14,"none",35.7,"none",17.6,"none",0.15,"none",0.48,"none",2.75,"none",2.18,"none",141,"none",29.6,"none",8,"none"
