TADA.CharacteristicName,Target.TADA.CharacteristicName,TADA.CharacteristicNameAssumptions,TADA.ResultSampleFractionText,Target.TADA.ResultSampleFractionText,TADA.FractionAssumptions,TADA.MethodSpeciationName,Target.TADA.MethodSpeciationName,TADA.SpeciationAssumptions,Target.TADA.SpeciationConversionFactor,HarmonizationGroup
ORTHOPHOSPHATE,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,AS PO4,AS P,Converts speciation and result values from AS PO4 to AS P,0.326,Phosphorus
ORTHOPHOSPHATE,,,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,,AS P,Assumes AS P,,Phosphorus
ORTHOPHOSPHATE,,,NONE,UNFILTERED,,,AS P,,,Phosphorus
ORTHOPHOSPHATE,,,TOTAL,UNFILTERED,"Assumes ORTHOPHOSPHATE, TOTAL is UNFILTERED",AS P,,,,Phosphorus
ORTHOPHOSPHATE,,,TOTAL,UNFILTERED,"Assumes ORTHOPHOSPHATE, TOTAL is UNFILTERED",,AS P,Assumes AS P,,Phosphorus
ORTHOPHOSPHATE,,,TOTAL RECOVERABLE,UNFILTERED,"Assumes ORTHOPHOSPHATE, TOTAL  RECOVERABLEis UNFILTERED",AS P,,,,Phosphorus
ORTHOPHOSPHATE,,,,UNFILTERED,Assumes ORTHOPHOSPHATE is UNFILTERED,,AS P ,Assumes AS P,,Phosphorus
ORTHOPHOSPHATE,,,UNFILTERED,,,AS P,,,,Phosphorus
OXYGEN,DISSOLVED OXYGEN (DO),Assumes oxygen as dissolved fraction equivalent to Dissolved Oxygen (DO),DISSOLVED,,Assumes fraction is NA for DISSOLVED OXYGEN (DO) and DISSOLVED OXYGEN SATURATION. ,,,,,DISSOLVED OXYGEN (DO)
PH,,,DISSOLVED,,Assumes fraction is NA for PH. Harmonizing to NA.,,,,,PH
PH,,,TOTAL,,Assumes fraction is NA for PH. Harmonizing to NA.,,,,,PH
PH,,,,,,,,,,PH
PHEOPHYTIN A,,,DISSOLVED,FILTERED,,,,,,PHEOPHYTIN A
PHEOPHYTIN A,,,TOTAL,UNFILTERED,,,,,,PHEOPHYTIN A
PHEOPHYTIN A,,,,UNFILTERED,,,,,,PHEOPHYTIN A
PHOSPHATE-PHOSPHORUS,ORTHOPHOSPHATE,Assumes PHOSPHATE-PHOSPHORUS is synonymous to ORTHOPHOSPHATE,DISSOLVED,FILTERED,Assumes DISSOLVED and TOTAL SOLUBLE are equivalent to FILTERED. FILTERED is precise and preferred.,,AS P,Assumes AS P,,Phosphorus
PHOSPHATE-PHOSPHORUS,ORTHOPHOSPHATE,Assumes PHOSPHATE-PHOSPHORUS is synonymous to ORTHOPHOSPHATE,NONE,UNFILTERED,,,AS P,Assumes AS P,,Phosphorus
PHOSPHATE-PHOSPHORUS,ORTHOPHOSPHATE,Assumes PHOSPHATE-PHOSPHORUS is synonymous to ORTHOPHOSPHATE,TOTAL,UNFILTERED,"Assumes PHOSPHATE-PHOSPHORUS, TOTAL is synonymous to ORTHOPHOSPHATE, UNFILTERED",AS P,,,,Phosphorus
