date,site,latitude,longitude,huc,source,discharge
2010-01-25T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,163
2010-01-26T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,4.13
2010-01-26T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,913
2010-01-26T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,85.3
2010-01-26T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,126
2010-01-26T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,21.1
2010-01-26T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,57.7
2010-01-26T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,13.4
2010-01-26T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,272
2010-01-26T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,165
2010-01-27T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.91
2010-01-27T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,901
2010-01-27T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,89.8
2010-01-27T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,118
2010-01-27T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,19.9
2010-01-27T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,55.4
2010-01-27T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,12.3
2010-01-27T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,264
2010-01-27T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,165
2010-01-28T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.7
2010-01-28T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,889
2010-01-28T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,89.8
2010-01-28T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,116
2010-01-28T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,19.4
2010-01-28T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,54.1
2010-01-28T06:00:00Z,04026390,46.60916667,-90.7602778,04010301,USGS,11.8
2010-01-28T06:00:00Z,04027000,46.4866144,-90.696297,04010302,USGS,243
2010-01-28T06:00:00Z,04027500,46.4972222,-90.9041667,04010302,USGS,138
2010-01-29T06:00:00Z,04015330,46.94688005,-91.7924013,04010102,USGS,3.6
2010-01-29T06:00:00Z,04024000,46.7032765,-92.4188018,04010201,USGS,895
2010-01-29T06:00:00Z,04024430,46.6333333,-92.0938889,04010301,USGS,86.1
2010-01-29T06:00:00Z,04025500,46.53777778,-91.5952778,04010301,USGS,118
2010-01-29T06:00:00Z,040263205,46.59438708,-90.9632437,04010301,USGS,19.5
2010-01-29T06:00:00Z,040263491,46.54888889,-91.0619444,04010301,USGS,52.6
