PUBLICATION_DATE,UNIQUE_ID,UID,SITE_ID,VISIT_NO,DATE_COL,PSTL_CODE,VALXSITE,LAT_DD,LON_DD,STATION_DEPTH,,YEAR,DSGN_CYCLE,IND_DOMAIN,COUNTRY,EPA_REG,EVAL_CAT,FEAT_NM,GREAT_LAKE,LAKE_REG,LAT_DD83,LON_DD83,NCCA_REG,NPS_PARK,PROVINCE,SITETYPE,STATE_NM,XCOORD,YCOORD
5/2/2024,NGL_MI-10546,2014764,NGL20_MI-10115,1,8/31/2020,MI,Great Lakes,41.88462327,-86.63080723,1.8,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,41.88462327,-86.63080723,Great Lakes,,Great Lakes Province,PROB,Michigan,770790.757,529245.3406
5/2/2024,NGL_OH-10076,2012439,NGL20_OH-10022,1,8/31/2020,OH,Great Lakes,41.42284499,-82.4703736,12.1,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.42284499,-82.4703736,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1118438.897,519292.9011
5/2/2024,NGL_MI-10060,2014777,NGL20_MI-10023,2,9/1/2020,MI,Great Lakes,44.83934528,-83.24250009,27,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,44.83934528,-83.24250009,Great Lakes,,Great Lakes Province,PROB,Michigan,1003944.74,888541.1872
5/2/2024,NGL_MI-10524,2014778,NGL20_MI-10056,1,9/1/2020,MI,Great Lakes,44.88191064,-83.26393712,26,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,44.88191064,-83.26393712,Great Lakes,,Great Lakes Province,PROB,Michigan,1001634.794,893010.5489
5/2/2024,NGL_MI-10541,2014772,NGL20_MI-10110,1,9/1/2020,MI,Great Lakes,42.62900253,-86.25572231,21.5,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,42.62900253,-86.25572231,Great Lakes,,Great Lakes Province,PROB,Michigan,793022.1168,615152.3674
5/2/2024,NGL_OH-10069,2014771,NGL20_OH-10015,1,9/1/2020,OH,Great Lakes,41.4260376,-82.43872983,11.7,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.4260376,-82.43872983,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1120986.177,520019.4678
5/2/2024,NGL_OH-10081,2014773,NGL20_OH-10027,1,9/1/2020,OH,Great Lakes,41.69705558,-81.43431734,11.6,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.69705558,-81.43431734,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1198752.625,562278.4908
5/2/2024,NGL_OH-10001,2014785,NGL20_OH-10001,2,9/2/2020,OH,Great Lakes,41.7462498,-83.37917302,3.4,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Western_Basin,41.7462498,-83.37917302,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1038977.9,544828.8768
5/2/2024,NGL_OH-10068,2014805,NGL20_OH-10014,1,9/3/2020,OH,Great Lakes,41.83771058,-81.05155663,2,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.83771058,-81.05155663,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1227531.517,582713.4334
5/2/2024,NGL_NY-10014,2014840,NGL20_NY-10035,2,9/9/2020,NY,Great Lakes,43.33797355,-77.67321461,19.6,,2020,2020,CORE,USA,Region_02,Target_Sampled,,Lake Ontario,,43.33797355,-77.67321461,Great Lakes,,Great Lakes Province,PROB,New York,1469689.347,795814.0419
5/2/2024,NGL_OH-10002,2014833,NGL20_OH-10002,2,9/9/2020,OH,Great Lakes,41.51047484,-82.1391148,14,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.51047484,-82.1391148,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1144205.119,532942.8442
5/2/2024,NGL_OH-10074,2014854,NGL20_OH-10020,1,9/9/2020,OH,Great Lakes,41.66844857,-81.49288751,13.7,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.66844857,-81.49288751,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1194456.664,558377.1995
5/2/2024,NGL_NY-10013,2014868,NGL20_NY-10034,2,9/10/2020,NY,Great Lakes,43.35819938,-78.70273347,20.5,,2020,2020,CORE,USA,Region_02,Target_Sampled,,Lake Ontario,,43.35819938,-78.70273347,Great Lakes,,Great Lakes Province,PROB,New York,1387661.229,782555.3445
5/2/2024,NGL_NY-10135,2014857,NGL20_NY-10062,1,9/10/2020,NY,Great Lakes,43.37325449,-78.32459256,1.5,,2020,2020,CORE,USA,Region_02,Target_Sampled,,Lake Ontario,,43.37325449,-78.32459256,Great Lakes,,Great Lakes Province,PROB,New York,1417339.696,789788.4105
5/2/2024,NGL_NY-10150,2014858,NGL20_NY-10077,1,9/10/2020,NY,Great Lakes,43.39675218,-78.32229037,27.5,,2020,2020,CORE,USA,Region_02,Target_Sampled,,Lake Ontario,,43.39675218,-78.32229037,Great Lakes,,Great Lakes Province,PROB,New York,1417037,792400.7991
5/2/2024,NGL_MI-10533,2014872,NGL20_MI-10065,1,9/11/2020,MI,Great Lakes,44.75484131,-83.22925827,16.3,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,44.75484131,-83.22925827,Great Lakes,,Great Lakes Province,PROB,Michigan,1006240.962,879358.1285
5/2/2024,NGL_MI-10514,2014878,NGL20_MI-10046,1,9/13/2020,MI,Great Lakes,44.56074896,-83.26978334,9.8,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,44.56074896,-83.26978334,Great Lakes,,Great Lakes Province,PROB,Michigan,1005953.837,857508.3135
5/2/2024,NGL_MI-10527,2014877,NGL20_MI-10059,1,9/13/2020,MI,Great Lakes,44.563966,-83.30508012,6,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,44.563966,-83.30508012,Great Lakes,,Great Lakes Province,PROB,Michigan,1003133.56,857490.3487
5/2/2024,NGL_MI-10040,2014888,NGL20_MI-10096,1,9/14/2020,MI,Great Lakes,42.94419484,-86.246774,16.6,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,42.94419484,-86.246774,Great Lakes,,Great Lakes Province,PROB,Michigan,790139.3643,650263.3426
5/2/2024,NGL_MI-10042,2014895,NGL20_MI-10098,1,9/14/2020,MI,Great Lakes,43.10239715,-86.27176684,7.9,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,43.10239715,-86.27176684,Great Lakes,,Great Lakes Province,PROB,Michigan,786315.8118,667635.5371
5/2/2024,NGL_OH-10067,2012137,NGL20_OH-10013,1,9/14/2020,OH,Great Lakes,41.47228565,-82.69272089,4.3,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.47228565,-82.69272089,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1099407.3,522177.1446
5/2/2024,NGL_IL-10005,2014910,NGL20_IL-10001,1,9/15/2020,IL,Great Lakes,42.14156784,-87.74541367,6.3,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,42.14156784,-87.74541367,Great Lakes,,Great Lakes Province,PROB,Illinois,676846.5723,549374.8704
5/2/2024,NGL_MI-10069,2014907,NGL20_MI-10031,1,9/15/2020,MI,Great Lakes,44.01349983,-82.76739263,1.5,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,44.01349983,-82.76739263,Great Lakes,,Great Lakes Province,PROB,Michigan,1053866.488,802528.7743
5/2/2024,NGL_MI-10511,2014906,NGL20_MI-10043,1,9/15/2020,MI,Great Lakes,43.99884762,-82.68226771,27.3,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Huron,,43.99884762,-82.68226771,Great Lakes,,Great Lakes Province,PROB,Michigan,1060829.909,801857.854
5/2/2024,NGL_OH-10079,2014896,NGL20_OH-10025,1,9/15/2020,OH,Great Lakes,41.77354874,-81.26208718,8.7,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.77354874,-81.26208718,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1211491.915,572920.2943
5/2/2024,NGL_OH-10080,2014909,NGL20_OH-10026,1,9/16/2020,OH,Great Lakes,41.62978045,-81.58971828,15.8,,2020,2020,CORE,,Region_05,Target_Sampled,None,Lake Erie,Lake_Erie_Central_Basin,41.62978045,-81.58971828,Great Lakes,Not_NPS,Great Lakes Province,PROB,Ohio,1187199.059,552886.6347
5/2/2024,NGL_MI-10034,2014937,NGL20_MI-10090,2,9/17/2020,MI,Great Lakes,43.37539388,-86.46277177,21.1,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,43.37539388,-86.46277177,Great Lakes,,Great Lakes Province,PROB,Michigan,767875.3626,696402.2363
5/2/2024,NGL_MI-10039,2014934,NGL20_MI-10095,1,9/17/2020,MI,Great Lakes,43.91889854,-86.45743667,10.5,,2020,2020,CORE,USA,Region_05,Target_Sampled,,Lake Michigan,,43.91889854,-86.45743667,Great Lakes,,Great Lakes Province,PROB,Michigan,762223.711,756789.2456
