Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC	Discharge.Daily@SFTC
yyyy-mm-dd	HH:MM:SS	ft^3/s			
Date	Time	Value	Grade	Approval	InterpolationCode
4/26/2016	0:00:00	15.78903792	31		8
4/27/2016	0:00:00	2.580335144	31		8
4/28/2016	0:00:00	1.459407878	31		8
4/29/2016	0:00:00	1.103113742	31		8
4/30/2016	0:00:00	0.901026964	31		8
5/1/2016	0:00:00	0.749180687	31		8
5/2/2016	0:00:00	0.650657182	31		8
5/3/2016	0:00:00	0.58136682	31		8
5/4/2016	0:00:00	0.499556003	31		8
5/5/2016	0:00:00	0.416332552	31		8
5/6/2016	0:00:00	0.39692045	31		8
5/7/2016	0:00:00	0.42436463	31		8
5/8/2016	0:00:00	0.334675942	31		8
5/9/2016	0:00:00	0.28864063	31		8
5/10/2016	0:00:00	0.34291804	51		8
5/11/2016	0:00:00	0.57121709	51		8
5/12/2016	0:00:00	0.77656746	51		8
5/13/2016	0:00:00	0.623119848	51		8
5/14/2016	0:00:00	0.476411025	51		8
5/15/2016	0:00:00	0.394801152	51		8
5/16/2016	0:00:00	0.35964449	51		8
5/17/2016	0:00:00	0.297881918	51		8
5/18/2016	0:00:00	0.256241065	51		8
5/19/2016	0:00:00	0.22383315	51		8
5/20/2016	0:00:00	0.209542533	51		8
5/21/2016	0:00:00	0.187947141	51		8
5/22/2016	0:00:00	0.191129838	51		8
5/23/2016	0:00:00	0.202663878	51		8
5/24/2016	0:00:00	1.23631735	51		8
5/25/2016	0:00:00	17.80981107	51		8
5/26/2016	0:00:00	20.30064667	51		8
5/27/2016	0:00:00	1.727664456	51		8
5/28/2016	0:00:00	1.652523583	51		8
5/29/2016	0:00:00	1.847218382	51		8
5/30/2016	0:00:00	0.900358615	51		8
5/31/2016	0:00:00	0.809767726	51		8
6/1/2016	0:00:00	2.867350372	51		8
6/2/2016	0:00:00	0.894764414	51		8
6/3/2016	0:00:00	0.72087145	51		8
6/4/2016	0:00:00	10.11444693	51		8
6/5/2016	0:00:00	5.727460329	51		8
6/6/2016	0:00:00	4.494532234	51		8
6/7/2016	0:00:00	0.991426809	51		8
6/8/2016	0:00:00	0.578809082	51		8
6/9/2016	0:00:00	0.439903627	51		8
6/10/2016	0:00:00	3.496549967	51		8
6/11/2016	0:00:00	1.643519878	51		8
6/12/2016	0:00:00	0.627351162	51		8
6/13/2016	0:00:00	0.795499186	51		8
6/14/2016	0:00:00	0.713559706	51		8
6/15/2016	0:00:00	43.69599387	21		8
6/16/2016	0:00:00	15.30552167	21		8
6/17/2016	0:00:00	1.106618044	21		8
6/18/2016	0:00:00	0.604539239	21		8
6/19/2016	0:00:00	0.44352412	21		8
6/20/2016	0:00:00	0.393182954	21		8
6/21/2016	0:00:00	0.301846085	21		8
6/22/2016	0:00:00	0.2563351	21		8
6/23/2016	0:00:00	0.229417863	21		8
6/24/2016	0:00:00	0.186364366	21		8
6/25/2016	0:00:00	0.195978987	21		8
6/26/2016	0:00:00	0.27104212	21		8
6/27/2016	0:00:00	0.200902236	21		8
6/28/2016	0:00:00	0.144844407	21		8
6/29/2016	0:00:00	0.101769543	21		8
6/30/2016	0:00:00	0.205252791	21		8
7/1/2016	0:00:00	0.22366507	21		8
7/2/2016	0:00:00	0.163411705	21		8
7/3/2016	0:00:00	0.106528953	21		8
7/4/2016	0:00:00	0.085085506	21		8
7/5/2016	0:00:00	0.079581442	21		8
7/6/2016	0:00:00	0.076977769	21		8
7/7/2016	0:00:00	0.076879284	21		8
7/8/2016	0:00:00	0.157004727	21		8
7/9/2016	0:00:00	0.126374988	21		8
7/10/2016	0:00:00	0.094599944	21		8
7/11/2016	0:00:00	153.5820879	21		8
7/12/2016	0:00:00	214.9092285	51		8
7/13/2016	0:00:00	2.938546893	51		8
7/14/2016	0:00:00	1.364271986	51		8
7/15/2016	0:00:00	0.885445094	51		8
7/16/2016	0:00:00	0.58110189	51		8
7/17/2016	0:00:00	0.417181372	51		8
7/18/2016	0:00:00	0.321417149	51		8
7/19/2016	0:00:00	0.244056041	51		8
7/20/2016	0:00:00	0.193187262	51		8
7/21/2016	0:00:00	0.206840412	51		8
7/22/2016	0:00:00	0.152856377	51		8
7/23/2016	0:00:00	0.108738244	51		8
7/24/2016	0:00:00	0.086213773	51		8
7/25/2016	0:00:00	0.052493085	51		8
7/26/2016	0:00:00	0.033448153	51		8
7/27/2016	0:00:00	0.030542614	51		8
